quarter,raw_P,bad_price_or_shares,bad_date,aff10b5one,kept
2015q4,11725,338,0,0,11387
2016q1,11290,236,0,0,11054
2016q2,8042,257,0,0,7785
2016q3,7745,136,0,0,7609
2016q4,8092,143,0,0,7949
2017q1,6191,153,0,0,6038
2017q2,8397,173,0,0,8224
2017q3,7164,185,0,0,6979
2017q4,6418,122,0,0,6296
2018q1,6754,138,0,0,6616
2018q2,6681,210,0,0,6471
2018q3,8075,174,0,0,7901
2018q4,23776,342,0,0,23434
2019q1,12255,167,0,0,12088
2019q2,11959,199,0,0,11760
2019q3,9240,273,0,0,8967
2019q4,5878,259,0,0,5619
2020q1,11558,167,0,0,11391
2020q2,7045,104,0,0,6941
2020q3,6817,142,0,0,6675
2020q4,5929,135,0,0,5794
2021q1,5296,147,0,0,5149
2021q2,5897,72,0,0,5825
2021q3,7062,100,0,0,6962
2021q4,7878,120,0,0,7758
2022q1,7718,127,0,0,7591
2022q2,9722,109,0,0,9613
2022q3,7848,78,0,0,7770
2022q4,8635,131,0,0,8504
2023q1,6236,161,0,8,6067
2023q2,8217,252,0,266,7699
2023q3,6847,1061,0,484,5302
2023q4,7243,1008,0,245,5990
2024q1,5656,442,0,501,4713
2024q2,5543,103,2,254,5184
2024q3,5123,63,0,339,4721
2024q4,6090,110,0,525,5455
2025q1,5372,87,0,451,4835
2025q2,6370,67,0,743,5560
2025q3,4833,46,0,323,4466
2025q4,5397,86,0,140,5172
2026q1,4912,97,0,188,4627
