ticker,issuer_cik,issuer_name,signal_date,first_trans_date,last_trans_date,last_filing_date,n_insiders,n_insiders_exec,n_trans,total_value_usd,value_exec_usd,total_shares,avg_price,max_trans_value_usd,has_ceo,has_cfo,has_ceo_or_cfo,n_director_trans,n_officer_trans,any_tenpercent,any_10b5_1_footnote,trans_span_days,owner_names,full_n_insiders,full_n_trans,full_total_value_usd,full_last_trans_date,full_trans_span_days,signal_lag_days,filing_lag_days,year
OCIP,1578932,OCI Partners LP,2016-01-04,2015-12-23,2015-12-30,2016-01-04,2,2,7,255758.43,255758.43,36988.0,6.9146,95392.05,False,False,False,7,0,False,False,7,GREGORY NATHANIEL A|Sawiris Nassef,2,7,255758.43,2015-12-30,7,5,5,2016
TEP,1569134,"Tallgrass Energy Partners, LP",2016-01-05,2015-05-12,2015-05-12,2016-01-05,2,0,2,1907200000.0,0.0,40000000.0,47.68,953600000.0,False,False,False,0,0,True,False,0,"Tallgrass Energy Holdings, LLC|Tallgrass Equity, LLC",2,2,1907200000.0,2015-05-12,0,238,238,2016
BOBE,33769,BOB EVANS FARMS INC,2016-01-06,2016-01-04,2016-01-04,2016-01-06,2,2,2,266690.0,266690.0,7000.0,38.0986,190150.0,False,False,False,2,1,False,False,0,BENHAM DOUGLAS N|SHEEHAN KEVIN M,2,2,266690.0,2016-01-04,0,2,2,2016
CODI,1345126,Compass Diversified Holdings,2016-01-06,2015-12-30,2016-01-04,2016-01-06,6,0,7,518175.58,0.0,32425.0,15.9807,96551.16,False,False,False,0,0,False,False,5,BOTTIGLIERI JAMES|BURNS GORDON M|DAY C SEAN|Edwards Harold S|Ewing D Eugene|Lazarus Mark H,6,7,518175.58,2016-01-04,5,2,2,2016
MUX,314203,McEwen Mining Inc.,2016-01-06,2015-12-24,2015-12-31,2016-01-06,2,2,11,454828.52,454828.52,419556.0,1.0841,105000.0,True,False,True,11,10,True,False,7,2190303 Ontario Inc.|Ashby Michele L|McEwen Robert Ross,2,11,454828.52,2015-12-31,7,6,6,2016
GBT,1629137,"Global Blood Therapeutics, Inc.",2016-01-07,2015-08-17,2015-08-17,2016-03-14,8,8,11,1370000.0,1370000.0,68500.0,20.0,500000.0,False,False,False,5,9,False,False,0,Choi Jung|LOVE TED W|PATRICK DEVAL L|PERRY MARK L|Radovich Peter|Ramos Eleanor|Schembri John|Sham Hing,8,12,1870000.0,2015-08-17,0,143,210,2016
AMBC,874501,AMBAC FINANCIAL GROUP INC,2016-01-08,2016-01-07,2016-01-08,2016-01-08,2,2,3,846481.2,846481.2,65996.0,12.8263,429501.55,True,False,True,3,2,False,False,1,NADER TAVAKOLI|Stein Jeffrey Scott,2,3,846481.2,2016-01-08,1,0,0,2016
APPF,1433195,APPFOLIO INC,2016-01-08,2016-01-04,2016-01-07,2016-02-05,2,0,7,2898248.52,0.0,210179.0,13.7894,1380000.0,False,False,False,0,0,True,False,3,"Clarity Ventures, Inc.|Clarity Ventures, L.P.|HUGHES JASON F|KARAN STEVEN L|Keenan Capital GP, LLC|Keenan Capital, LLC|Keenan Charles J IV|Meadowridge Ventures, L.P.",3,30,7623133.49,2016-02-03,30,1,2,2016
CONN,1223389,CONNS INC,2016-01-12,2016-01-08,2016-01-11,2016-01-13,4,1,12,2858275.35,346998.36,170476.0,16.7664,1508400.0,False,False,False,9,0,True,False,3,BRADBURY CURTIS F JR|MARTIN DOUGLAS H|STEPHENS WARREN & HARRIET CHILDRENS TRUST UID 9/30/87|STEPHENS WARREN A TRUST UID 9/30/87,7,19,8389075.35,2016-01-11,3,1,2,2016
EPZM,1571498,"Epizyme, Inc.",2016-01-12,2016-01-12,2016-01-12,2016-01-12,12,2,14,109999980.0,14999994.0,12222220.0,9.0,9999999.0,False,False,False,3,0,True,False,0,"BARRETT M JAMES|BARRIS PETER J|BASKETT FOREST|BAY CITY CAPITAL LLC|Bay City Capital Fund V Co-Investment Fund, L.P.|Bay City Capital Fund V, L.P.|Bay City Capital Management V LLC|GOLDFISCHER CARL|KER",12,14,109999980.0,2016-01-12,0,0,0,2016
