day,pnl,credit,max_loss
2024-01-18,1.65,4.0,98.0
2024-01-19,-98.57,4.0,99.0
2024-01-22,3.18,6.0,97.0
2024-01-23,3.13,6.0,97.0
2024-01-24,0.11,3.0,100.0
2024-01-25,-0.24,2.0,100.0
2024-01-26,-0.28,2.0,100.0
2024-01-29,-100.13,2.0,100.0
2024-01-30,0.57,3.0,99.0
2024-01-31,-0.31,2.0,100.0
2024-02-01,-93.96,9.0,94.0
2024-02-02,-92.45,10.0,192.0
2024-02-05,7.11,10.0,93.0
2024-02-06,7.71,10.0,192.0
2024-02-07,-2.17,10.0,192.0
2024-02-08,8.54,11.0,91.0
2024-02-09,-11.52,11.0,92.0
2024-02-12,8.53,11.0,191.0
2024-02-13,7.84,10.0,192.0
2024-02-14,11.62,14.0,188.0
2024-02-15,-93.03,10.0,93.0
2024-02-16,-43.65,8.0,95.0
2024-02-20,4.6,7.0,195.0
2024-02-21,-16.07,8.0,95.0
2024-02-22,-94.82,8.0,95.0
2024-02-23,11.37,14.0,89.0
2024-02-26,10.31,14.0,89.0
2024-02-27,11.35,14.0,89.0
2024-02-28,11.25,14.0,89.0
2024-02-29,7.3,10.0,93.0
2024-03-01,-93.55,9.0,94.0
2024-03-04,7.18,10.0,93.0
2024-03-05,-75.74,9.0,94.0
2024-03-06,8.04,11.0,192.0
2024-03-07,8.25,11.0,92.0
2024-03-08,-97.88,5.0,98.0
2024-03-11,3.2,6.0,97.0
2024-03-12,-97.12,5.0,97.0
2024-03-13,4.99,8.0,95.0
2024-03-14,0.03,8.0,95.0
2024-03-15,4.97,8.0,95.0
2024-03-18,5.68,8.0,94.0
2024-03-19,-93.63,9.0,94.0
2024-03-20,-95.57,7.0,96.0
2024-03-21,5.7,8.0,194.0
2024-03-22,4.2,7.0,96.0
2024-03-25,3.0,6.0,97.0
2024-03-26,-96.61,6.0,97.0
2024-03-27,-15.85,4.0,99.0
2024-03-28,2.55,5.0,97.0
2024-04-01,2.33,5.0,98.0
2024-04-02,-1.62,1.0,102.0
2024-04-03,-41.08,3.0,100.0
2024-04-04,-0.58,2.0,101.0
2024-04-05,-99.38,3.0,99.0
2024-04-08,3.7,6.0,96.0
2024-04-09,3.74,6.0,96.0
2024-04-10,3.39,6.0,97.0
2024-04-11,5.48,8.0,95.0
2024-04-12,-94.9,8.0,95.0
2024-04-15,-91.91,11.0,92.0
2024-04-16,9.29,12.0,91.0
2024-04-17,-90.8,12.0,191.0
2024-04-18,-39.21,11.0,91.0
2024-04-19,-92.78,10.0,193.0
2024-04-22,3.71,6.0,96.0
2024-04-23,-92.96,10.0,93.0
2024-04-24,10.89,13.0,89.0
2024-04-25,-190.46,12.0,190.0
2024-04-26,-17.75,11.0,192.0
2024-04-29,7.97,11.0,92.0
2024-04-30,-95.2,7.0,95.0
2024-05-01,9.43,12.0,91.0
2024-05-02,9.16,12.0,191.0
2024-05-03,10.7,13.0,189.0
2024-05-06,-46.43,13.0,89.0
2024-05-07,11.0,14.0,89.0
2024-05-08,-9.48,12.0,190.0
2024-05-09,-7.43,12.0,90.0
2024-05-10,9.13,12.0,191.0
2024-05-13,8.39,11.0,92.0
2024-05-14,-21.61,11.0,92.0
2024-05-15,-99.9,3.0,100.0
2024-05-16,-31.17,2.0,100.0
2024-05-17,0.85,3.0,99.0
2024-05-20,-1.09,2.0,101.0
2024-05-21,-101.5,1.0,101.0
2024-05-22,-1.46,1.0,101.0
2024-05-23,-101.41,1.0,101.0
2024-05-24,-43.91,3.0,100.0
2024-05-28,0.98,4.0,99.0
2024-05-29,0.81,3.0,99.0
2024-05-30,-36.73,5.0,98.0
2024-05-31,-101.45,1.0,101.0
2024-06-03,-18.35,4.0,98.0
2024-06-04,-37.48,4.0,98.0
2024-06-05,-98.35,4.0,98.0
2024-06-06,5.17,8.0,95.0
2024-06-07,4.82,7.0,95.0
2024-06-10,-62.86,6.0,97.0
2024-06-11,-92.48,5.0,97.0
2024-06-12,2.79,5.0,97.0
2024-06-13,1.52,4.0,98.0
2024-06-14,-79.21,1.0,101.0
2024-06-17,-101.18,1.0,101.0
2024-06-18,-50.05,2.0,101.0
2024-06-20,-101.0,2.0,101.0
2024-06-21,-1.12,1.0,101.0
2024-06-24,-27.13,1.0,101.0
2024-06-25,-1.13,1.0,101.0
2024-06-26,-52.14,1.0,101.0
2024-06-27,-1.1,2.0,101.0
2024-06-28,-101.05,2.0,101.0
2024-07-01,-1.09,2.0,101.0
2024-07-02,-101.14,1.0,101.0
2024-07-03,-101.02,2.0,101.0
2024-07-05,-100.94,2.0,101.0
2024-07-08,-0.85,2.0,101.0
2024-07-09,-0.83,2.0,101.0
2024-07-10,-100.81,2.0,101.0
2024-07-11,-100.7,2.0,101.0
2024-07-12,-97.56,4.0,99.0
2024-07-15,2.07,5.0,98.0
2024-07-16,-85.37,3.0,99.0
2024-07-17,0.68,3.0,99.0
2024-07-18,-192.43,10.0,192.0
2024-07-19,-91.36,11.0,91.0
2024-07-22,8.69,11.0,91.0
2024-07-23,11.09,14.0,89.0
2024-07-24,-189.16,13.0,189.0
2024-07-25,-43.55,18.0,185.0
2024-07-26,15.13,18.0,185.0
2024-07-29,17.14,20.0,183.0
2024-07-30,-83.15,19.0,183.0
2024-07-31,15.63,18.0,84.0
2024-08-01,-180.74,22.0,181.0
2024-08-02,9.94,23.0,180.0
2024-08-05,-178.57,24.0,179.0
2024-08-06,26.02,29.0,274.0
2024-08-07,-270.92,32.0,271.0
2024-08-08,-174.62,28.0,175.0
2024-08-09,32.71,35.0,267.0
2024-08-12,31.84,34.0,268.0
2024-08-13,-71.96,35.0,168.0
2024-08-14,35.39,38.0,265.0
2024-08-15,33.34,36.0,267.0
2024-08-16,34.2,37.0,266.0
2024-08-19,-31.5,32.0,271.0
2024-08-20,12.58,15.0,187.0
2024-08-21,14.02,17.0,186.0
