ticker,sig,n_ins,ceo_cfo,value,adv,ex_spy,ex_iwm
SPG,2023-01-03,11,False,392568.24,192188893.6126709,187.4040232582998,-248.586130237025
CODI,2023-01-05,8,False,843690.39,4770217.624120712,990.654829416179,618.5690013034231
NFE,2023-01-06,2,False,551432.3,80186964.96900558,-353.499251820572,-643.9157370354603
HEI,2023-01-11,10,True,1828818.05,53285597.55584717,187.73605496653806,225.77748832948114
PLAY,2023-01-13,3,False,327708.35,51088902.34357834,-167.39772797451772,-98.13349496517701
TRST,2023-01-30,8,True,286366.23,3131384.320869446,795.2981227837647,666.284210743015
TFIN,2023-01-31,7,False,3781520.53,8322586.801166534,608.8381921480915,581.5875490895008
OBIO,2023-02-01,2,True,18148548.8,2203467.6768779755,3952.907168179936,3994.7184417300637
INTC,2023-02-02,2,True,501859.5,1263045192.9882812,-1070.7705223229782,-841.0364648838389
JBSS,2023-02-03,2,False,699041.76,5015062.486305237,-341.2904411153619,-230.34296290181632
NEE,2023-02-06,3,True,574472.64,826620849.3323517,203.5672111005757,270.8456243587762
VERA,2023-02-08,3,False,25999988.0,7239804.375598431,-90.83902258204803,112.834038673146
ALGN,2023-02-09,2,True,1200572.08,388845861.530838,330.31195699706507,667.7629379382103
CNC,2023-02-09,2,False,997935.0,310328261.6844177,-679.4191256937039,-341.96814475255866
GLO,2023-02-09,3,False,312102.0,2066538.4428858757,-63.38682750237058,274.06415343877467
ONEW,2023-02-09,3,True,333683.64,3731192.723712921,-880.8953705670974,-543.4443896259522
RILY,2023-02-09,4,True,6753753.64,16191033.464660645,-1920.5332338208434,-1583.0822528796982
ASPS,2023-02-14,5,True,2574340.0,2152760.2841413496,-552.8500502994991,-34.18951721356964
CLFD,2023-02-14,2,False,379900.0,42250404.22193527,-1974.625461634781,-1455.9649285488515
FIS,2023-02-17,7,False,1054810.87,419687435.27194977,-2345.7578998420126,-1775.1199645832353
MKL,2023-02-17,2,False,732046.2,50441412.16369629,-660.8803313090382,-90.24239605026061
NSIT,2023-02-17,2,False,11032490.72,30291757.199935913,604.8563225937337,1175.4942578525113
DVN,2023-02-21,2,True,782462.72,667420847.5037956,-983.1474753572944,-277.1887158273223
BARK,2023-02-22,3,True,267021.0,2433766.907866478,-1108.820661378021,-290.37317845992004
HLF,2023-02-24,2,False,455380.0,33296086.697540283,-1910.5443097036286,-1172.736195477004
RILY,2023-02-27,2,True,736300.0,23937266.115837097,-3113.6207876841686,-2347.515621252831
TWLO,2023-02-27,2,True,10250678.66,384608410.0606537,-685.8790835301223,80.22608290121552
WSC,2023-03-01,2,True,401767.5,87253147.99598694,-1301.6235387987513,-428.7252000989111
KDP,2023-03-03,2,True,831990.0,279258828.50442886,45.04551679439476,746.8559424183702
IHRT,2023-03-06,3,True,1053544.62,5624962.867786884,-4056.9845431992203,-3197.495805253275
BSM,2023-03-07,2,True,1010262.5,13163349.386606216,-24.424707481287037,888.2322982278163
SLRC,2023-03-07,2,False,4759706.46,3547931.488723755,-1090.6415057829865,-177.9845000738832
FCNCA,2023-03-08,2,True,252005.2,60749138.55804443,4188.362322712819,5053.143579539925
TTI,2023-03-08,4,True,256240.0,4658338.718869686,-2777.722107107756,-1912.9408502806514
QCRH,2023-03-10,3,False,538078.0,3011136.173095703,-1169.807801325678,-758.6625772029248
CFR,2023-03-13,2,True,1553055.0,55044194.50073242,-1351.9506367676743,-896.8147611623518
ELAN,2023-03-13,2,True,255300.0,80716502.21483707,-939.8392568075031,-484.70338120218065
FPI,2023-03-13,2,True,313060.0,6669389.746131897,193.8953467384881,649.0312223438107
GBCI,2023-03-13,3,True,398898.44,22638564.69062805,-1152.832001777521,-697.6961261721987
MCB,2023-03-13,5,True,647115.78,5647647.482070923,-1925.0620013109376,-1469.926125705615
SLVM,2023-03-13,2,False,742341.12,23952882.443084717,-1062.057956121621,-606.9220805162984
UMBF,2023-03-13,2,False,275347.0,16376502.451095581,-2498.1201912796555,-2042.984315674333
VST,2023-03-13,2,True,709700.0,117331226.88853264,-509.19931017756795,-54.06343457224544
BY,2023-03-14,4,False,2133120.6,2614252.4945926666,-770.2814098456878,-411.5352677071682
CCB,2023-03-14,4,False,1426978.9,2479128.106098175,-1170.8522669243687,-812.1061247858491
CUBI,2023-03-14,3,True,660150.0,21632751.15076065,-72.22399697604159,286.522145162478
ENVX,2023-03-14,2,True,678781.04,37770045.34758806,2164.903632697615,2523.649774836135
FFIN,2023-03-14,4,True,578237.67,19407301.742773056,-906.2163185897579,-547.4701764512382
RILY,2023-03-14,2,True,936275.0,24233272.01376915,-1430.8171957074956,-1072.0710535689761
RRGB,2023-03-14,3,True,432043.57,5321919.891490936,2759.417042155613,3118.163184294133
SCHW,2023-03-14,5,True,4498682.56,1189494947.5304413,-1633.0239364756771,-1274.2777943371575
VLY,2023-03-14,5,False,750724.0,42833476.47570133,-1430.4389504942228,-1071.6928083557032
AXTA,2023-03-15,2,True,1079523.0,69413884.28990364,595.1377588924107,977.7850692969532
BXMT,2023-03-15,2,False,1121100.0,52588117.01020241,-819.9592351203572,-437.3119247158147
CRK,2023-03-15,2,False,251400.0,68370091.95371628,686.1949713743495,1068.842281778892
DVN,2023-03-15,2,True,1376850.0,757762739.4573402,2081.6659539514635,2464.313264356006
NMFC,2023-03-15,5,True,2779443.0,4549766.116695404,-113.23157178054534,269.41573862399713
OEC,2023-03-15,2,True,329324.0,19442045.38137436,-51.24426811991004,331.4030422846324
RYAN,2023-03-15,2,True,7929459.0,36119141.35637283,594.2435291504308,976.8908395549734
SMBC,2023-03-15,2,True,345046.1,2567893.2793045044,-1655.1199435182198,-1272.4726331136774
WMB,2023-03-15,3,False,359869.0,230665258.44124794,264.63848561925255,647.285796023795
GEF,2023-03-16,2,True,442971.87,15138880.328140259,63.472705571750446,236.663747876516
GH,2023-03-16,2,True,4949798.66,68006065.49186707,-1951.568035192188,-1778.3769928874224
HASI,2023-03-16,5,True,484181.04,24000401.010398865,910.6322002822401,1083.8232425870056
MTDR,2023-03-16,5,True,253987.5,87076181.13893509,729.887536303315,903.0785786080805
PNC,2023-03-16,2,True,255150.0,549777202.0237732,-865.1434544082481,-691.9524121034826
SFBS,2023-03-16,2,True,289449.96,18755140.791397095,-1850.8843171591716,-1677.693274854406
BOKF,2023-03-17,2,False,381328.2,24867665.006599426,-1537.4935570644957,-1281.0842269351854
CPRI,2023-03-17,2,True,10177479.09,140053288.2314682,-66.81863110533287,189.59069902397735
PINE,2023-03-17,2,False,1158377.25,2043310.4382419586,-661.6164073753874,-405.2070772460772
RWAY,2023-03-17,2,True,308837.28,2584584.6512413025,-412.276270012385,-155.86693988307474
BNL,2023-03-20,4,True,273599.54,16515633.244285583,-1133.9361122618284,-842.7203927277957
SPOK,2023-03-20,2,True,278385.54,3268325.717115402,1628.0413746642928,1919.2570941983254
VTS,2023-03-20,2,False,795394.28,8556126.595315933,630.1149615540282,921.3306810880608
CBU,2023-03-21,3,False,268740.0,20270731.125011444,-1930.5952927587327,-1757.907474940828
PDM,2023-03-21,7,True,675788.2,12352982.730059624,-1795.9232343989554,-1623.2354165810507
APEI,2023-03-22,7,True,296787.5,3122563.814700842,3985.9769969829176,4040.6230655962377
ONEW,2023-03-22,2,True,730900.0,3259984.828891754,189.11418101050472,243.76024962382462
TRN,2023-03-22,2,True,295042.65,17636479.55780983,-467.4478831408086,-412.8018145274887
NEWT,2023-03-23,10,True,759030.82,8220774.880332947,-656.3266857079382,-558.6851304055236
UHAL,2023-03-27,3,False,4213827.0,15397872.686920166,243.87911796429884,584.0804600914055
SLG,2023-03-28,2,True,326800.0,124203407.30057716,595.4527135784804,970.213428345299
CQP,2023-03-29,2,False,6980433.34,14830016.461200714,-867.4450335684902,-565.6397198475881
PGC,2023-03-29,3,True,275417.4,2997123.0562877655,-1705.8351161540033,-1404.0298024331014
SPG,2023-04-03,11,False,398726.51,221748754.80007172,-468.0870111086228,-311.76564933579516
CWEN,2023-04-04,2,False,4484354.0,30273790.50130844,-626.2169716625201,-500.78723911580664
FDX,2023-04-13,2,False,442500.4,672583075.8344513,-372.4695246245471,-178.84402201162408
WDFC,2023-04-14,4,True,267366.44,22063001.607818604,347.2698600892559,545.7447835783163
DOMO,2023-04-17,2,True,754950.0,8702281.336832047,-1781.1626765833535,-1554.3301693385372
SFBS,2023-04-25,3,True,300429.4,11280025.58397293,-1317.8203832974214,-1393.5217154134286
BANF,2023-04-26,3,False,441755.02,6245997.88105011,1169.6399593215117,1195.7414802381709
CLF,2023-04-27,2,True,1604551.0,174894499.49475288,-670.6872287934333,-626.5770319034696
KREF,2023-05-01,2,True,352300.0,6271175.75902462,376.97044054546853,427.03717078284546
LKFN,2023-05-01,2,False,1025750.0,8257816.744041443,-228.80565897962566,-178.73892874224873
TCBI,2023-05-01,2,False,2619140.0,25469282.540168762,-659.1268415791168,-609.0601113417399
